--------------------Problem ID = 1--------run ID = 1------------------
--------------------Problem ID = 2--------run ID = 1------------------
function_IDs	4	3	3	2	4	2	2	1	4	4	4	1	3	4	2	1	2	3	2	4	1	3	3	2	2	2	2	4	4	2	1	3
function_IDs	3	2	2	1	4	1	4	1	3	4	3	2	2	4	2	3	3	1	1	3	3	2	2	4	3	3	1	4	2	2	3	1
correlation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
correlation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gbest for task 0	-1.77591	-4.77839	-2.65189	-1.45253	0.860355	-4.89089	-3.70889	4.76691	1.34723	0.451023	4.01698	-0.927763	-1.81964	-4.40098	2.42907	-1.81085	-2.79079	3.72922	2.52233	4.75187	1.35366	-0.240113	-1.21622	1.51091	2.16242	4.94378	-0.567061	-2.28059	-3.28434	0.364317	0.271457	-0.0602449	0.585925	2.61957	3.48722	-3.55372	2.72868	4.77834	-3.78681	-0.92409	0.229358	-4.76984	3.14815	3.40972	-4.17082	0.577222	-3.40114	-1.96161	-0.693556	4.12119
gbest for task 0	-0.772611	-1.85977	-0.0103018	3.83366	-1.33356	-2.91888	3.00364	-1.02372	0.0342429	4.59712	1.93278	-0.877893	0.763899	1.0053	-3.25125	2.08698	-1.85434	-1.42243	3.66486	4.07209	0.406388	-4.08522	-1.42616	-2.60678	-2.60304	2.95214	4.45749	-2.81331	-1.60796	2.98062	0.332616	2.61943	-3.87915	-4.67769	1.45309	-0.212706	-2.59657	-0.543271	3.76357	2.43767	-0.946155	0.696349	-3.44022	4.81774	-3.29835	-1.69147	1.90472	-0.152686	1.8861	0.569582
--------------------Problem ID = 3--------run ID = 1------------------
gbest for task 1	-0.772611	-1.85977	-0.0103018	3.83366	-1.33356	-2.91888	3.00364	-1.02372	0.0342429	4.59712	1.93278	-0.877893	0.763899	1.0053	-3.25125	2.08698	-1.85434	-1.42243	3.66486	4.07209	0.406388	-4.08522	-1.42616	-2.60678	-2.60304	2.95214	4.45749	-2.81331	-1.60796	2.98062	0.332616	2.61943	-3.87915	-4.67769	1.45309	-0.212706	-2.59657	-0.543271	3.76357	2.43767	-0.946155	0.696349	-3.44022	4.81774	-3.29835	-1.69147	1.90472	-0.152686	1.8861	0.569582
gbest for task 1	-4.88718	-1.07138	-0.786848	3.73143	4.70648	-4.9737	-2.35846	-2.96282	-2.70354	0.582159	2.80371	-2.51003	-4.69766	-4.00091	-3.95149	-4.27266	-4.65096	-2.67698	2.44629	3.99859	-3.99355	3.55432	2.36714	4.04835	-3.99914	1.93271	2.32767	2.68684	-3.939	-1.09177	-4.67278	-3.82618	2.83684	-0.459626	4.90525	2.54333	-0.433324	-2.45321	4.58051	1.86314	3.12895	2.38422	4.3531	3.43128	3.38331	-4.59839	4.15862	3.73235	-2.27537	1.60491
function_IDs	3	2	4	1	2	3	1	2	2	2	4	1	1	3	3	4	2	1	3	2	4	4	2	3	4	1	1	2	4	4	3	2
gbest for task 2	-2.01409	-2.27116	-1.38244	-3.79028	4.51842	-0.722029	3.22979	-2.80439	4.15465	1.71202	4.6192	2.62783	0.140489	-2.77999	-3.45007	-1.24113	0.320396	0.625326	4.63468	-0.314596	-4.22302	1.55708	1.75263	-2.30345	-1.12854	2.43352	-2.32028	-0.0262588	1.51951	-3.48148	3.43113	4.50542	-0.752643	-2.95131	-4.28486	-1.23422	1.32666	3.94493	0.961386	0.481316	0.656954	0.580587	-1.89086	-4.20256	2.8006	-0.340926	-0.443686	-1.87901	-4.7156	-0.809005
gbest for task 2	1.05844	3.31838	1.75028	3.66688	1.29578	-0.281713	-3.96968	1.35335	4.51387	-0.0625795	0.255224	-4.63952	1.96204	-2.34991	3.01828	-1.88109	-0.730959	-1.17612	4.12801	-0.28239	-2.48291	-4.16334	-2.57266	3.36029	4.78776	-0.286483	0.0137942	4.48493	4.66006	4.60094	-2.88277	0.7185	2.91932	3.86751	-0.614617	-0.784901	-1.4142	0.415703	-4.43155	-1.90033	-4.64688	0.823671	-1.53984	2.31516	3.47376	-3.52156	-4.56593	-2.2572	0.302321	4.56209
correlation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gbest for task 3	-4.88718	-1.07138	-0.786848	3.73143	4.70648	-4.9737	-2.35846	-2.96282	-2.70354	0.582159	2.80371	-2.51003	-4.69766	-4.00091	-3.95149	-4.27266	-4.65096	-2.67698	2.44629	3.99859	-3.99355	3.55432	2.36714	4.04835	-3.99914	1.93271	2.32767	2.68684	-3.939	-1.09177	-4.67278	-3.82618	2.83684	-0.459626	4.90525	2.54333	-0.433324	-2.45321	4.58051	1.86314	3.12895	2.38422	4.3531	3.43128	3.38331	-4.59839	4.15862	3.73235	-2.27537	1.60491
